model,deployment,id,breed,latency_ms,error
base,gpt-4o,340,Lakeland Terrier,3250.10199999997,
base,gpt-4o,341,Lakeland Terrier,1743.148100000326,
base,gpt-4o,342,Lakeland Terrier,1715.4751999996734,
base,gpt-4o,343,Lakeland Terrier,1573.6299000000145,
base,gpt-4o,344,Lakeland Terrier,1763.2411999993565,
base,gpt-4o,345,Leonberg,1538.1372000001647,
base,gpt-4o,346,Leonberg,1366.4648999993005,
base,gpt-4o,347,Leonberg,1765.6170000000202,
base,gpt-4o,348,Leonberg,1663.8026999999056,
base,gpt-4o,349,Leonberg,1480.2863000004436,
base,gpt-4o,350,Lhasa,1767.6001999998334,
base,gpt-4o,351,Lhasa,1558.9922999997725,
base,gpt-4o,352,Lhasa,1669.6971999999732,
base,gpt-4o,353,Lhasa,2265.4639000002135,
base,gpt-4o,354,Lhasa,1731.154900000547,
base,gpt-4o,355,Malamute,2012.9722000001493,
base,gpt-4o,356,Malamute,1661.1241000000518,
base,gpt-4o,357,Malamute,1647.0005000001038,
base,gpt-4o,358,Malamute,1664.4188000000213,
base,gpt-4o,359,Malamute,1734.8620000002484,
base,gpt-4o,360,Malinois,1648.6509999995178,
base,gpt-4o,361,Malinois,1212.2826000004352,
base,gpt-4o,362,Malinois,1725.061099999948,
base,gpt-4o,363,Malinois,1963.7028999995891,
base,gpt-4o,364,Malinois,1445.4630999998699,
base,gpt-4o,365,Maltese Dog,1176.3600999993287,
base,gpt-4o,366,Maltese Dog,1530.604399999902,
base,gpt-4o,367,Maltese Dog,1628.4117000004699,
base,gpt-4o,368,Maltese Dog,1419.3430999994234,
base,gpt-4o,369,Maltese Dog,1497.284299999592,
base,gpt-4o,370,Mexican Hairless,1785.1535999998305,
base,gpt-4o,371,Mexican Hairless,1992.5719000002573,
base,gpt-4o,372,Mexican Hairless,1398.3674000000974,
base,gpt-4o,373,Mexican Hairless,1309.3114999992395,
base,gpt-4o,374,Mexican Hairless,1313.6622000001807,
base,gpt-4o,375,Miniature Pinscher,1899.984399999994,
base,gpt-4o,376,Miniature Pinscher,1514.629799999966,
